lm_id	inchi_key	smiles	obsolete_id	SP	SphingoMap ID	CHEBI
LMSP0601GP00				True	419	
LMSP0601EI00				True	64	
LMSP0601BG00				True	91	
LMSP0505BT00				True	239	
LMSP0502AG00				True	23	
LMSP0601FG00				True	251	
LMSP0505AF00				True	47	
LMSP0601BV00				True	303	
LMSP0601FA00				True	225	
LMSP0504AJ00				True	153	
LMSP0506BA00				True	381	
LMSP0601CZ00				True	349	
LMSP0506AT00				True	372	
LMSP0505AD00				True	45	CHEBI:28691
LMSP0601EF00				True	42	CHEBI:36528
LMSP0505BZ00				True	245	
LMSP0502AD00				True	20	
LMSP0502AH00				True	25	
LMSP0601BN00				True	130	CHEBI:87990
LMSP0601BZ00				True	307	
LMSP0601BE00				True	88	
LMSP0505BV00				True	241	
LMSP0505AG00				True	48	
LMSP0505AW00				True	116	
LMSP0601BD00				True	87	
LMSP0601FW00				True	274	
LMSP0506AQ00				True	11	CHEBI:52570
LMSP0505AT00				True	61	
LMSP0503AJ00				True	310	
LMSP0504AL00				True	155	
LMSP0502AW00				True	143	
LMSP0503AI00				True	309	
LMSP0601FJ00				True	254	
LMSP0601EG00				True	44	
LMSP0502AL00				True	110	
LMSP0505EK00				True	464	
LMSP0504BF00				True	184	
LMSP0601EC00				True	198	
LMSP0601DI00				True	321	
LMSP0502AU00				True	140	
LMSP0506AI00				True	421	
LMSP0504BA00				True	179	
LMSP0506AV00				True	374	
LMSP0506BH00				True	394	
LMSP0502AK00				True	28	
LMSP0601FQ00				True	266	
LMSP0601DS00				True	160	
LMSP0601CQ00				True	340	
LMSP0504AO00				True	158	
LMSP0504AU00				True	168	
LMSP0601CC00				True	320	
LMSP0505BJ00				True	229	
LMSP0601AR00				True	74	CHEBI:87992
LMSP0505EG00				True	460	
LMSP0503AN00			LMSP0504BS00	True	329	
LMSP0601GW00			LMSP0505DT00	True	397	
LMSP0601BJ00				True	94	
LMSP0601BP00				True	293	
LMSP0504AK00				True	154	
LMSP0601EH00				True	63	
LMSP0506AW00				True	375	
LMSP0502AX00				True	144	
LMSP02080000				True	SphingoMap ID not found.	CHEBI:189535
LMSP0502AE00				True	21	CHEBI:62571
LMSP0601GA00				True	Failed to fetch page.	
LMSP0601EN00				True	202	
LMSP0506BF00				True	392	
LMSP0601DC00				True	410	
LMSP0601AU00				True	77	CHEBI:87994
LMSP0505AO00				True	56	
LMSP0504BB00				True	180	
LMSP0602AL00				True	412	
LMSP0504BK00				True	189	
LMSP0502AY00				True	145	
LMSP0505BE00				True	124	
LMSP0601DP00				True	150	
LMSP0601FN00				True	263	
LMSP0601DO00				True	149	
LMSP0601BQ00				True	294	
LMSP0502AZ00				True	146	
LMSP0601GU00				True	471	
LMSP0601AE00				True	115	
LMSP0602AJ00				True	363	
LMSP0601CL00				True	335	
LMSP0505BY00				True	244	
LMSP0601GE00				True	389	
LMSP02020000				True	SphingoMap ID not found.	CHEBI:31488
LMSP0502AV00				True	142	
LMSP0505AM00				True	54	
LMSP0506AM00				True	427	
LMSP0505CP00				True	366	
LMSP0504BG00				True	185	
LMSP0506BJ00				True	396	
LMSP0504BD00				True	182	
LMSP0505EH00				True	461	
LMSP0504AZ00				True	178	
LMSP06020000				True	SphingoMap ID not found.	CHEBI:18318
LMSP0505EB00				True	455	
LMSP0505BO00				True	234	
LMSP0601DN00				True	148	
LMSP0601FM00				True	260	
LMSP0505AQ00				True	58	
LMSP0505AH00				True	49	
LMSP0504AS00				True	166	
LMSP0502AM00				True	111	
LMSP0502AI00				True	26	CHEBI:62649
LMSP0505BU00				True	240	
LMSP0601DY00				True	196	
LMSP0601DX00				True	170	
LMSP03010000				True	SphingoMap ID not found.	CHEBI:17636
LMSP0601EQ00				True	207	
LMSP0601AZ00				True	83	
LMSP0505AE00				True	46	
LMSP0504BC00				True	181	
LMSP0504BH00				True	186	
LMSP0505CN00				True	352	
LMSP0505EL00				True	465	
LMSP020102A0				True	SphingoMap ID not found.	CHEBI:139573
LMSP0601GC00				True	360	
