SMID	SphinGOMAP ID	Automatically found from structure ChEBI ID	Manually mapped ChEBI ID	Name	generated_glyconomenclature	Category	category_assigned	LBID	Common Name	References	Lucila’s comment	generic glycosphingolipid SMILES	match_automatic_and_manual_chebi
28.0	28	140836	140836.0	Globoside Globo-B	Fucalpha1-2(Galalpha1-3)Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo		type IV B antigen			*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O[C@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@H]5O[C@@H]5O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]5O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
29.0	29	90811	90811.0	Fuc-Lc4Cer/ Lea	Galbeta1-3(Fucalpha1-4)GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto	GSG1166	Lewis a; Lea	Karlsson & Larson (1981), Smith et al. (1975)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
30.0	30	142582	142582.0	NeuNAc-Lc4Cer/ 3'-isoLM1	NeuAcalpha2-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto	GSG1113		Nilsson et al. (1985), Prieto & Smith (1986), Molin et al. (1987), Wikstr& et al. (1991), Fukuda et al. (1986), Kameyama et al. (1990), Suzuki et al. (1992, 1993), Xu et al. (1993, 1994) (these last 2 papers methods say it was synthetized)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@]5(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O)O)[C@H](NC(C)=O)[C@@H](O)C5)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
31.0					Galalpha1-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto			Eto et al. (1968)-> PMID: 4304380-in rabbit reticulocytes and erythrocytes		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
32.0	32	142607	142607.0	sialyl-Fuc-Lc4Cer/ Fuc-3'-isoLM1/ sialyl-Lea	NeuAcalpha2-3Galbeta1-3(Fucalpha1-4)GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto	GSG1310	sialy1-Lea 	Magnani et al. (1982), Wieruszeski et al. (1985), Kameyama et al. (1994), Hanqing et al. (1986), Mansson et al. (1985), Falk et al. (1983)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@]5(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O)O)[C@H](NC(C)=O)[C@@H](O)C5)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
33.0	33	90802	90802.0	IV2Fuc-Lc4Cer/ Type I H/ Group 0	Fucalpha1-2Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto	GSG1375	type I H antigen	Breimer et al. (1981, 1983), Karlsson & Larson (1981), Bjork et al. (1987)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
34.0	34	142630	142630.0	Type I B/ Group B	Fucalpha1-2(Galalpha1-3)Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto	GSG1171	type I B antigen	Wherret & Hakomori (1973)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H]4O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
35.0	35	142628	142628.0	Type I A/ Group A	Fucalpha1-2(GalNAcalpha1-3)Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto	GSG1377	type I A antigen	Slomiany et al. (1975), Breimer et al. (1982, 1984), Clausen et al. (1985), Hakomori et al. (1987), Jovall et al. (1987)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H]4O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
36.0	36	142643	142643.0	BLeb/Fuc-Type I B	Fucalpha1-2(Galalpha1-3)Galbeta1-3(Fucalpha1-4)GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto	GSG1381	Bleb	Breimer et al. (1982, 1984)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H]4O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
37.0	37	142641	142641.0	ALeb/Fuc-Type I A	Fucalpha1-2(GalNAcalpha1-3)Galbeta1-3(Fucalpha1-4)GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto	GSG1380	Aleb	McKibbin et al. (1982), Clausen et al. (1985a), Breimer (1984), Bjork et al. (1987)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H]4O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
